algo.id,algo.desc,algo.representation,algo.operator.unary,algo.operator.binary,ref.id,ref.year,inst.id,inst.opt.bound.lower,system.cpu.name,system.cpu.n,system.cpu.cores,system.cpu.threads,system.cpu.mhz,system.runs.are.parallel,system.memory.mb,system.os.name,system.vm.name,system.compiler.name,system.programming.language.name,system.external.tools.list,notes,n.runs,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,last.improvement.time.min,last.improvement.time.mean,last.improvement.time.med,last.improvement.time.mode,last.improvement.time.max,last.improvement.time.sd,total.time.min,total.time.mean,total.time.med,total.time.mode,total.time.max,total.time.sd,total.fes.min,total.fes.mean,total.fes.med,total.fes.mode,total.fes.max,reach.best.f.min.runs,reach.best.f.min.time.min,reach.best.f.min.time.mean,reach.best.f.min.time.med,reach.best.f.min.time.mode,reach.best.f.min.time.max,reach.best.f.min.time.sd,budget.fes,budget.time
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la39,1233,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la40,1222,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACO-SA,ACO+SA+TS,OO,NA,NA,AMCS2014UMHDICPREPDJSS,2014,la01,666,Intel Core i3,1,2,4,2270,FALSE,3072,NA,NA,NA,Octave,NA,NA,10,666,666,666,666,666,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACO-SA,ACO+SA+TS,OO,NA,NA,AMCS2014UMHDICPREPDJSS,2014,la02,655,Intel Core i3,1,2,4,2270,FALSE,3072,NA,NA,NA,Octave,NA,NA,10,655,656.6,NA,NA,663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACO-SA,ACO+SA+TS,OO,NA,NA,AMCS2014UMHDICPREPDJSS,2014,la03,597,Intel Core i3,1,2,4,2270,FALSE,3072,NA,NA,NA,Octave,NA,NA,10,603,614.6,NA,NA,626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACO-SA,ACO+SA+TS,OO,NA,NA,AMCS2014UMHDICPREPDJSS,2014,la04,590,Intel Core i3,1,2,4,2270,FALSE,3072,NA,NA,NA,Octave,NA,NA,10,590,596.2,NA,NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACO-SA,ACO+SA+TS,OO,NA,NA,AMCS2014UMHDICPREPDJSS,2014,la05,593,Intel Core i3,1,2,4,2270,FALSE,3072,NA,NA,NA,Octave,NA,NA,10,593,593,593,593,593,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACO-SA,ACO+SA+TS,OO,NA,NA,AMCS2014UMHDICPREPDJSS,2014,la06,926,Intel Core i3,1,2,4,2270,FALSE,3072,NA,NA,NA,Octave,NA,NA,10,926,926,926,926,926,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACO-SA,ACO+SA+TS,OO,NA,NA,AMCS2014UMHDICPREPDJSS,2014,la07,890,Intel Core i3,1,2,4,2270,FALSE,3072,NA,NA,NA,Octave,NA,NA,10,890,892,NA,NA,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACO-SA,ACO+SA+TS,OO,NA,NA,AMCS2014UMHDICPREPDJSS,2014,la08,863,Intel Core i3,1,2,4,2270,FALSE,3072,NA,NA,NA,Octave,NA,NA,10,863,863,863,863,863,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
