inst.id,n.runs,budget.time,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,last.improvement.time.min,last.improvement.time.mean,last.improvement.time.med,last.improvement.time.mode,last.improvement.time.max,last.improvement.time.sd,total.time.min,total.time.mean,total.time.med,total.time.mode,total.time.max,total.time.sd,reach.best.f.min.runs,reach.best.f.min.time.min,reach.best.f.min.time.mean,reach.best.f.min.time.med,reach.best.f.min.time.mode,reach.best.f.min.time.max,reach.best.f.min.time.sd
ta27,20,1800000,1686,1687.6,1688,1687.5,1690,1.56944509134179,119000,1047500,1129500,1129500,1414000,335881.009632249,1800000,1800000,1800000,1800000,1800000,0,9,975000,975000,1110000,1110000,1313000,116752.944288356
ta27,20,1801000,1686,1687.6,1688,1687.5,1690,1.56944509134179,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,9,1801000,1801000,1801000,1801000,1801000,0
ta28,18,180000,1617,1621.05555555556,1622,1622,1624,1.95454890906022,9000,95944.4444444444,101000,101000,167000,52229.6650237844,180000,180000,180000,180000,180000,0,1,107000,107000,107000,107000,107000,0
ta28,18,300000,1617,1619.88888888889,1619.5,1622,1622,1.90630189846849,10000,152666.666666667,159500,196000,299000,85740.3741810466,300000,300000,300000,300000,300000,0,3,107000,107000,196000,196000,299000,96085.0317860869
ta28,18,1800000,1615,1616.22222222222,1617,1617,1617,1.0032626514091,107000,880555.555555556,1026000,1026000,1474000,402957.627639933,1800000,1800000,1800000,1800000,1800000,0,7,567000,567000,1170000,1170000,1321000,249012.047901301
ta28,18,1801000,1615,1616.22222222222,1617,1617,1617,1.0032626514091,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,7,1801000,1801000,1801000,1801000,1801000,0
ta29,20,180000,1628,1630.25,1629.5,1629,1634,1.77334058829805,6000,65300,42500,19000,161000,57551.8987752062,180000,180000,180000,180000,180000,0,2,21000,21000,91000,91000,161000,98994.9493661166
ta29,20,300000,1625,1629.05,1629,1629,1631,1.39453821823042,6000,113150,68500,19000,292000,100196.267920832,300000,300000,300000,300000,300000,0,1,292000,292000,292000,292000,292000,0
ta29,20,1800000,1625,1627.9,1628,1628,1629,1.16528740525336,6000,569100,490500,490500,1707000,454440.766796197,1800000,1800000,1800000,1800000,1800000,0,2,292000,292000,999500,999500,1707000,1000556.09537896
ta29,20,1801000,1625,1627.9,1628,1628,1629,1.16528740525336,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,2,1801000,1801000,1801000,1801000,1801000,0
ta30,20,180000,1594,1599.95,1598.5,1596,1609,4.94682247827623,6000,86050,92500,70500,161000,49891.9622257618,180000,180000,180000,180000,180000,0,1,80000,80000,80000,80000,80000,0
ta30,20,300000,1594,1598.4,1597,1596,1609,3.53031980063235,6000,124200,115500,115500,276000,77569.39168458,300000,300000,300000,300000,300000,0,1,80000,80000,80000,80000,80000,0
ta30,20,1800000,1584,1590.6,1592,1592,1600,5.55735643326175,224000,1048100,1107500,1107500,1366000,295577.561287798,1800000,1800000,1800000,1800000,1800000,0,6,948000,948000,1046000,1046000,1137000,71768.1452084883
ta30,20,1801000,1584,1590.6,1592,1592,1600,5.55735643326175,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,6,1801000,1801000,1801000,1801000,1801000,0
ta31,20,180000,1764,1764,1764,1764,1764,0,12000,45300,27000,21000,130000,37308.2465838036,180000,180000,180000,180000,180000,0,20,12000,12000,27000,21000,130000,37308.2465838036
ta31,20,300000,1764,1764,1764,1764,1764,0,12000,45300,27000,21000,130000,37308.2465838036,300000,300000,300000,300000,300000,0,20,12000,12000,27000,21000,130000,37308.2465838036
ta31,20,1800000,1764,1764,1764,1764,1764,0,12000,45300,27000,21000,130000,37308.2465838036,1800000,1800000,1800000,1800000,1800000,0,20,12000,12000,27000,21000,130000,37308.2465838036
ta31,20,1801000,1764,1764,1764,1764,1764,0,21000,1623000,1801000,1801000,1801000,547872.440013472,1801000,1801000,1801000,1801000,1801000,0,20,21000,21000,1801000,1801000,1801000,547872.440013472
