inst.id,n.runs,budget.time,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,last.improvement.time.min,last.improvement.time.mean,last.improvement.time.med,last.improvement.time.mode,last.improvement.time.max,last.improvement.time.sd,total.time.min,total.time.mean,total.time.med,total.time.mode,total.time.max,total.time.sd,reach.best.f.min.runs,reach.best.f.min.time.min,reach.best.f.min.time.mean,reach.best.f.min.time.med,reach.best.f.min.time.mode,reach.best.f.min.time.max,reach.best.f.min.time.sd
ta42,40,1800000,1949,1962.625,1963,1966,1966,3.34117666974698,46000,693000,605500,605500,1798000,486580.111726944,1800000,1800000,1800000,1800000,1800000,0,1,1414000,1414000,1414000,1414000,1414000,0
ta42,40,1801000,1949,1962.625,1963,1966,1966,3.34117666974698,46000,1222900,1799500,1801000,1801000,677571.334119525,1801000,1801000,1801000,1801000,1801000,0,1,1801000,1801000,1801000,1801000,1801000,0
ta42,40,NA,1949,1962.625,1963,1966,1966,3.34117666974698,1801000,1906925,1849000,1801000,2136000,132606.684191664,1801000,1906925,1849000,1801000,2136000,132606.684191664,1,1801000,1801000,1801000,1801000,1801000,0
ta43,40,180000,1870,1880.45,1878.5,1881.5,1896,7.16454947856243,37000,113975,113000,116500,180000,40662.1398279114,180000,180000,180000,180000,180000,0,1,171000,171000,171000,171000,171000,0
ta43,40,300000,1867,1877.475,1875.5,1875,1890,6.54368946351153,43000,158250,146000,116000,299000,71829.1241553388,300000,3e+05,300000,300000,300000,0,2,207000,207000,207500,207500,208000,707.106781186548
ta43,40,1800000,1856,1869.2,1870,1870,1874,3.22012899884939,43000,910475,972500,972500,1758000,485488.333985377,1800000,1800000,1800000,1800000,1800000,0,1,966000,966000,966000,966000,966000,0
ta43,40,1801000,1856,1869.2,1870,1870,1874,3.22012899884939,163000,1310950,1688000,1801000,1801000,585297.555270076,1801000,1801000,1801000,1801000,1801000,0,1,966000,966000,966000,966000,966000,0
ta43,40,NA,1856,1869.15,1870,1870,1874,3.1909326664866,1801000,2047700,2032500,1801000,2375000,251227.876944113,1801000,2047700,2032500,1801000,2375000,251227.876944113,1,2359000,2359000,2359000,2359000,2359000,0
ta44,40,180000,1994,2000.875,2002,2002,2006,2.50320307626562,25000,112675,112500,126500,180000,45875.1860193252,180000,180000,180000,180000,180000,0,1,180000,180000,180000,180000,180000,0
ta44,40,300000,1994,1999.625,1999,1999,2003,2.07163381577601,25000,155950,157500,196000,286000,68334.3777281039,300000,3e+05,300000,300000,300000,0,1,180000,180000,180000,180000,180000,0
ta44,40,1800000,1992,1995.375,1996,1996,2001,2.20358100163557,151000,984100,1049500,1049500,1800000,516493.294319416,1800000,1800000,1800000,1800000,1800000,0,5,401000,401000,704000,704000,1041000,252475.147291768
ta44,40,1801000,1992,1995.375,1996,1996,2001,2.20358100163557,188000,1444025,1800500,1801000,1801000,525042.146659895,1801000,1801000,1801000,1801000,1801000,0,5,530000,530000,843000,843000,1801000,493744.569590391
ta44,40,NA,1992,1995,1995,1996,2001,2.21880078490092,1801000,2060600,2027500,1801000,2365000,263922.074746433,1801000,2060600,2027500,1801000,2365000,263922.074746433,7,1801000,1801000,2336000,2336000,2358000,202500.793649238
ta45,40,180000,2005,2012.15,2013,2013,2013,1.94211093189727,11000,63300,44000,82000,177000,44174.0148700974,180000,180000,180000,180000,180000,0,1,31000,31000,31000,31000,31000,0
ta45,40,300000,2005,2011.975,2013,2013,2013,2.06915689506868,11000,76000,44500,37000,259000,61670.3394609659,300000,3e+05,300000,300000,300000,0,1,31000,31000,31000,31000,31000,0
ta45,40,1800000,2005,2010.35,2010,2013,2013,2.61700553089174,11000,502100,207500,27000,1778000,544929.108539206,1800000,1800000,1800000,1800000,1800000,0,3,31000,31000,852000,852000,1564000,767145.575059475
